id,work_id,comic_title,issue_range,comic_writer,comic_year,storyline_arc
78,21,Calypso,Amazing Spider-Man #209,Dennis O'Neil / John Romita Jr.,1980,
79,21,Foreigner,Web of Spider-Man #15,Louise Simonson / Greg LaRocque,1986,
80,21,Nikolai Kravinoff,Kraven's Last Hunt,J.M. DeMatteis,1987,
81,22,Venom,Web of Spider-Man #18 / Amazing Spider-Man #300,David Michelinie / Todd McFarlane,1988,
82,22,Knull,Venom #3 (vol. 4),Donny Cates / Ryan Stegman,2018,
83,22,Xenophage,Venom: Planet of the Symbiotes / Symbiote Spider-Man,,1995,
84,22,Rex Strickland,Venom #1 (vol. 4),Donny Cates / Ryan Stegman,2018,
85,22,Imperium,,Donny Cates / Ryan Stegman,2018,(King in Black lore)
86,22,Agony (symbiote),Venom: Lethal Protector #4,David Michelinie / Mark Bagley,1993,
87,22,Lasher (symbiote),Venom: Lethal Protector #4,David Michelinie / Mark Bagley,1993,
88,15,Spider-Verse,The Amazing Spider-Man #9-15,Dan Slott,2014,Spider-Verse
89,16,Brand New Day,The Amazing Spider-Man #546-564,Dan Slott,2008,Brand New Day
90,23,Friendly Neighborhood Spider-Man,#6,Peter David,2006,
91,24,Spider-Man,Amazing Fantasy #15,Stan Lee,1962,Spider-Man origin
92,25,Spider-Man,,Stan Lee / Steve Ditko,1962,
93,26,Spider-Man,,Stan Lee / Steve Ditko,1962,Loose adaptation
94,28,Spider-Man,,Stan Lee / Steve Ditko,1962,
95,29,Spider-Man,,Stan Lee / Steve Ditko,1962,
96,30,Spider-Man; X-Men,,Stan Lee / Steve Ditko / Jack Kirby,1962,
97,31,The Amazing Spider-Man,,Various,1963,Venom Saga; Six Arms Saga; Secret Wars; Clone Saga
98,32,The Amazing Spider-Man,#1-26 (initial adaptation plan),Stan Lee / Steve Ditko,1963,Counter-Earth
99,33,Ultimate Spider-Man,,Brian Michael Bendis,2000,Initial adaptation plan
100,34,The Amazing Spider-Man; Ultimate Spider-Man,,Stan Lee / Steve Ditko / John Romita Sr. / Brian Michael Bendis,1963,
101,35,Ultimate Spider-Man,,Brian Michael Bendis,2000,
102,36,Spider-Man,,Stan Lee / Steve Ditko,1962,Superior Spider-Man; Spider-Island; Maximum Venom
103,37,Spider-Man,,Stan Lee / Steve Ditko,1962,
104,38,The Amazing Spider-Man,,Stan Lee / Steve Ditko / John Romita Sr.,1963,Early Spider-Man stories
105,27,Spider-Man Noir,#1-4,David Hine / Fabrice Sapolsky,2009,Spider-Man Noir
106,39,Spider-Man (Marvel Comics),ongoing comic,Stan Lee / Steve Ditko,1962,general mythology
107,40,Spider-Man (Marvel Comics),general mythology,Stan Lee / Steve Ditko,1962,general
108,41,Spider-Man & Captain America comics,general mythology,multiple,,general
109,45,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
110,46,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
111,48,"""Return of the Sinister Six""",Amazing Spider-Man #334-339 (1990),David Michelinie / Erik Larsen,1990,Sinister Six storyline
112,51,"""Maximum Carnage""",Maximum Carnage #1-14 (1993),Tom DeFalco / Mark Bagley,1993,Maximum Carnage storyline
113,52,"""The Lethal Foes of Spider-Man"" (1993 limited series)",#1-4,John Byrne / Dave Hoover,1993,(name inspiration only)
114,53,Venom: Separation Anxiety (titled after),#1-4 (1994),Howard Mackie / Ron Lim,1994,
115,53,Venom: Lethal Protector (plot closely follows),#1-6 (1993),David Michelinie / Mark Bagley,1993,Lethal Protector
116,54,Spider-Man: The Animated Series (1994-1998 TV series),1994,(animated adaptation),,
117,55,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
118,55,New Enforcers storyline elements,,,,
119,57,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
120,59,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
121,60,Spider-Man comics,general mythology,Stan Lee / Steve Ditko,1962,
122,61,Spider-Man (2002 film),2002,Sam Raimi (director),2002,film tie-in
123,62,Spider-Man 2 (2004 film),2004,Sam Raimi (director),2004,film tie-in (with comic expansions)
124,63,Ultimate Spider-Man (comic),#1-ongoing (2000+),Brian Michael Bendis / Mark Bagley,2000,Ultimate Marvel universe
125,65,Spider-Man 3 (2007 film),2007,Sam Raimi (director),2007,"film tie-in (with comic expansions: Lizard, Kraven, Calypso, Scorpion, Morbius, Shriek, Carlyle)"
126,66,Sam Raimi Spider-Man film trilogy,2002-2007,Sam Raimi,,non-canon divergence from films
127,67,Spider-Man comics,general mythology (symbiote invasion story),,,
128,69,Spider-Man comics (multiverse),Tablet of Order and Chaos (game original),,,Multiverse / Spider-Verse precursor
129,70,Spider-Man 2099 comics,general,Peter David / Rick Leonardi,1992,Marvel 2099 setting
130,71,The Amazing Spider-Man (2012 film),2012,Marc Webb (director),2012,film epilogue (alternate continuity)
131,72,The Amazing Spider-Man 2 (2014 film),2014,Marc Webb (director),2014,film tie-in (alternate continuity)
132,73,Spider-Man comics (multiverse/Spider-Verse),2014 storyline,Dan Slott / Olivier Coipel,2014,Spider-Verse
133,74,Marvel Comics (broad),general mythology,various,,original story (Lego multiverse)
134,75,Marvel Comics (broad multiverse),Chronopolis / Kang storyline,,,original story
135,76,Spider-Man comics,Earth-1048 (original),inspired by long-running mythology & other media,,(Insomniac original universe)
136,79,Miles Morales (Ultimate Spider-Man),2011-present,Brian Michael Bendis / Sara Pichelli,2011,(Insomniac Earth-1048)
137,80,Spider-Man comics,Earth-1048,inspired by Kraven's Last Hunt & Venom/symbiote mythology,,(Insomniac original)
138,77,Spider-Man comics,Earth-1048,"inspired by Black Cat, Maggia, Hammerhead mythology",,
139,50,Invasion of the Spider-Slayers,The Amazing Spider-Man #368-373,David Michelinie,1992,Invasion of the Spider-Slayers
140,56,The Sinister Six,The Amazing Spider-Man Annual #1,Stan Lee,1964,The Sinister Six
141,58,The Sinister Six,The Amazing Spider-Man Annual #1,Stan Lee,1964,The Sinister Six
142,68,Ultimate Spider-Man,Ultimate Spider-Man #1,Brian Michael Bendis,2000,
