id,name,alias,alignment,alignment_raw,first_comic_title,first_comic_year,identity_id
92,Gwen Stacy (mentioned),,hero,hero,Amazing Spider-Man #31 (1965),1965,14
93,Ben Parker (mentioned),,hero,hero,Amazing Fantasy #15 (1962),1962,39
94,Johnathon Ohnn / The Spot,The Spot,villain,villain,Amazing Spider-Man #589 (2009),2009,36
95,Jessica Drew / Spider-Woman,Spider-Woman,neutral,neutral,Marvel Spotlight #32 (1977),1977,148
96,Hobie Brown / Spider-Punk,Spider-Punk,hero,hero,Spider-Verse (2014),2014,34
97,Pavitr Prabhakar / Spider-Man India,Spider-Man India,hero,hero,Spider-Man India #1 (2005),2005,211
98,Jefferson Morales,,hero,hero,Ultimate Comics Spider-Man #1 (2011),2011,144
99,Aaron Davis / Prowler (Earth-42),Prowler,villain,villain,Amazing Spider-Man #78 (1969),1969,43
100,Miles G. Morales / Prowler (Earth-42),,villain,villain,,,186
101,Mayday Parker,Spider-Girl,hero,hero,Spider-Girl #1 (1998),1998,31
102,Ben Reilly / Scarlet Spider,Scarlet Spider,neutral,neutral,Amazing Spider-Man #149 (1975),1975,2
103,Margo Kess / Spider-Byte,Spider-Byte,hero,hero,Edge of Spider-Verse #2 (2014),2014,172
104,Spider-Ham,Spider-Ham,hero,hero,Marvel Tails (1983),1983,32
105,Lyla (AI),,neutral,neutral,Spider-Man 2099 #1 (1992),1992,168
106,Adriano Tumino / Vulture,Vulture,villain,villain,Amazing Spider-Man #2 (1963),1963,44
107,Lyla,,neutral,neutral,Spider-Man 2099 (1992),1992,168
108,Anne Weying,She-Venom,hero,hero,Amazing Spider-Man #375 (1993),1993,52
109,Carlton Drake / Riot,Riot,villain,villain,Venom: Lethal Protector #4 (1993),1993,78
110,Roland Treece,,villain,villain,Venom: Lethal Protector (1993),1993,234
111,Dora Skirth,,hero,hero,,,98
112,Cletus Kasady,Carnage,villain,villain,Amazing Spider-Man #344 (1991),1991,5
113,Mrs. Chen,,neutral,neutral,,,196
114,Maria,,neutral,neutral,,,173
115,Cletus Kasady / Carnage,Carnage,villain,villain,Amazing Spider-Man #344 (1991),1991,5
116,Frances Barrison / Shriek,Shriek,villain,villain,Spider-Man Unlimited #1 (1993),1993,28
117,Patrick Mulligan / Toxin,Toxin,neutral,neutral,Venom/Carnage #1 (2004),2004,210
118,Dan Lewis,,hero,hero,,,87
119,Peter Parker / Spider-Man (archival footage),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
120,J. Jonah Jameson (archival footage),,neutral,neutral,Amazing Spider-Man #1 (1963),1963,136
121,Michael Morbius / Living Vampire,Morbius,antihero,antihero,Amazing Spider-Man #101 (1971),1971,162
122,Lucien / Milo Morbius,(based on Loxias Crown / Hunger),villain,villain,Spider-Man #76 (1997),1997,165
123,Martine Bancroft,,hero,hero,Amazing Spider-Man #102 (1971),1971,177
124,Emil Nicholas,(based on Emil Nikos),hero,hero,Adventures into Fear #20 (1974),1974,103
125,Simon Stroud,,hero,hero,Creatures on the Loose #30 (1974),1974,241
126,Al Rodriguez,,hero,hero,,,46
127,Mr. Fox,,villain,villain,,,194
128,"Cassandra ""Cassie"" Webb / Madame Web",Madame Web,hero,hero,Amazing Spider-Man #210 (1980),1980,20
129,Julia Cornwall (future Spider-Woman),Spider-Woman (Julia Carpenter),hero,hero,Secret Wars #6 (1984),1984,150
130,Anya Corazón (future Spider-Girl),Araña/Spider-Girl,hero,hero,Amazing Fantasy #1 (2004),2004,54
131,Mattie Franklin (future Spider-Woman),Spider-Woman,hero,hero,Spider-Woman #1 vol.3 (1999),1999,182
132,Ezekiel Sims,Ezekiel,villain,villain,Amazing Spider-Man #30 vol.2 (2001),2001,105
133,Mary Parker,,hero,hero,Amazing Spider-Man Annual #5 (1968),1968,181
134,Peter Parker (infant),Spider-Man,hero,hero,Amazing Fantasy #15 (1962),1962,23
135,Constance Webb,,hero,hero,,,84
136,O'Neil,,hero,hero,,,208
137,Santiago,,hero,hero,,,237
138,Amaria,,neutral,neutral,,,49
139,Sergei Kravinoff / Kraven the Hunter,Kraven,antihero,antihero,Amazing Spider-Man #15 (1964),1964,18
140,Dmitri Kravinoff / Chameleon,Chameleon,villain,villain,Amazing Spider-Man #1 (1963),1963,6
141,Calypso Ezili,Calypso,hero,hero,Amazing Spider-Man #209 (1980),1980,76
142,The Foreigner,Foreigner,villain,villain,Web of Spider-Man #15 (1986),1986,253
143,Nikolai Kravinoff,,villain,villain,Kraven's Last Hunt (1987),1987,204
144,Ömer Ozdemir,,villain,villain,,,270
145,Semyon Chorney,,villain,villain,,,239
146,Rex Strickland,Rex Strickland,hero,hero,Venom #1 vol.4 (2018),2018,225
147,Dr. Teddy Paine / Agony (symbiote),Doctor Paine / Agony,hero,hero,,,45
148,"Sadie ""Christmas"" / Lasher (symbiote)",Lasher,hero,hero,Venom: Lethal Protector #4 (1993),1993,160
149,Knull,Knull,villain,villain,Venom #3 vol.4 (2018),2018,159
150,Martin Moon,,neutral,neutral,,,176
151,Nova Moon,,neutral,neutral,,,207
152,Jim / brown symbiote host,,neutral,neutral,,,71
153,Jade Clark / violet symbiote host,,neutral,neutral,,,140
154,Bartender (MCU + SSU versions),,neutral,neutral,,,58
155,Gwen Stacy / Spider-Woman,Spider-Gwen,hero,hero,Edge of Spider-Verse #2 (2014),2014,14
156,Jonathan Ohnn / The Spot,The Spot,villain,villain,"Peter Parker, The Spectacular Spider-Man #98 (1985)",1985,36
157,Frank Castle / The Punisher,The Punisher,antihero,antihero,The Amazing Spider-Man #129 (1974),1974,109
158,Mac Gargan / Scorpion,Scorpion,villain,villain,The Amazing Spider-Man #20 (1965),1965,26
159,Lonnie Lincoln / Tombstone,Tombstone,villain,villain,Web of Spider-Man #36 (1988),1988,38
160,Bruce Banner,Hulk,hero,hero,The Incredible Hulk #1 (1962),1962,16
161,Juan-Carlos Estrada Sánchez / El Muerto,El Muerto,antihero,antihero,Friendly Neighborhood Spider-Man #6 (2006),2006,102
162,Spider-Man,Spider-Man,hero,hero,Amazing Fantasy #15,1962,23
163,Spoiler,Spoiler,villain,villain,,,246
164,Queen Bee,Queen Bee,villain,villain,,,221
165,Thumper,Thumper,villain,villain,,,256
166,Peter Parker,Spider-Man,hero,hero,Amazing Fantasy #15,1962,23
167,Rita Conway,,neutral,neutral,,,230
168,Takuya Yamashiro,Spider-Man,hero,hero,,,35
169,Professor Monster,,villain,villain,,,216
170,Amazoness,Saeko Yoshida,villain,villain,,,50
171,Garia,,hero,hero,,,113
172,Leopardon,,hero,hero,,,161
173,Green Goblin,Norman Osborn,villain,villain,The Amazing Spider-Man #14,1964,13
174,Doctor Octopus,Otto Octavius,villain,villain,The Amazing Spider-Man #3,1963,9
175,Doctor Doom,Victor von Doom,villain,villain,The Fantastic Four #5,1962,8
176,Iceman,Bobby Drake,hero,hero,X-Men #1,1963,131
177,Firestar,Angelica Jones,hero,hero,Uncanny X-Men #193,1985,107
178,Videoman,Francis Byte,neutral,neutral,,,260
179,Kingpin,Wilson Fisk,villain,villain,The Amazing Spider-Man #50,1967,17
180,Venom,Eddie Brock,villain,villain,The Amazing Spider-Man #300,1988,11
181,Carnage,Cletus Kasady,villain,villain,The Amazing Spider-Man #361,1992,5
182,Madame Web,,neutral,neutral,The Amazing Spider-Man #210,1980,20
183,High Evolutionary,,villain,villain,The Mighty Thor #134,1966,125
184,X-51,Machine Man,hero,hero,2001: A Space Odyssey #8,1977,268
185,Curt Connors,Lizard,villain,villain,The Amazing Spider-Man #6,1963,19
186,Max Dillon,Electro,villain,villain,The Amazing Spider-Man #9,1964,12
187,Eddie Brock,Venom,villain,villain,The Amazing Spider-Man #300,1988,11
188,Otto Octavius,Doctor Octopus,villain,villain,The Amazing Spider-Man #3,1963,9
189,Nova,Sam Alexander,hero,hero,Marvel Point One #1,2011,206
190,White Tiger,Ava Ayala,hero,hero,Avengers Academy #20,2011,264
191,Iron Fist,Danny Rand,hero,hero,Marvel Premiere #15,1974,134
192,Power Man,Luke Cage,hero,hero,"Luke Cage, Hero for Hire #1",1972,215
193,Scarlet Spider,Ben Reilly,hero,hero,The Amazing Spider-Man #149,1975,2
194,Miles Morales,Ultimate Spider-Man,hero,hero,Ultimate Fallout #4,2011,21
195,Anya Corazon,Spider-Girl,hero,hero,Amazing Fantasy #1,2004,53
196,Doc Ock,,villain,villain,The Amazing Spider-Man #3,1963,94
197,Rhino,,villain,villain,The Amazing Spider-Man #41,1966,24
198,Electro,Francine Frye,villain,villain,The Amazing Spider-Man #9,1964,12
199,Nico Minoru,,hero,hero,Runaways #1,2003,202
200,Lonnie Lincoln,Tombstone,neutral,neutral,Web of Spider-Man #36,1988,38
201,Daredevil,Matt Murdock,hero,hero,Daredevil #1,1964,7
202,Ben Reilly / Spider-Man Noir,Spider-Man Noir,hero,hero,Spider-Man Noir #1 (2009),2009,62
203,Spider-Man (Peter Parker),Spider-Man,hero,hero,,,23
204,Green Goblin (Norman Osborn),Green Goblin,villain,villain,,,13
205,Sandman (Flint Marko),Sandman,villain,villain,,,25
206,Hydro-Man (Morris Bench),Hydro-Man,villain,villain,,,130
207,Ringmaster (Maynard Tiboldt),Ringmaster,villain,villain,,,228
208,Madame Web (Cassandra Webb),Madame Web,neutral,neutral,,,20
209,Lizard (Curt Connors),Lizard,villain,villain,,,19
210,Captain America (Steve Rogers),Captain America,hero,hero,,,4
211,Doctor Doom (Victor von Doom),Doctor Doom,villain,villain,,,8
212,Eduardo Lobo,,villain,villain,,,100
213,Grey Gargoyle (Paul Duval),Grey Gargoyle,villain,villain,,,118
214,Machete,,villain,villain,,,169
215,Boomerang (Fred Myers),Boomerang,villain,villain,,,69
216,Oddball,,villain,villain,,,209
217,Electro (Max Dillon),Electro,villain,villain,,,12
218,Hobgoblin (Roderick Kingsley),Hobgoblin,villain,villain,,,126
219,Rhino (Aleksei Sytsevich),Rhino,villain,villain,,,24
220,Batroc the Leaper (Georges Batroc),Batroc the Leaper,villain,villain,,,59
221,Zaran,,villain,villain,,,269
222,Rattan,,villain,villain,,,224
223,Hulk (Bruce Banner),Hulk,neutral,neutral/boss illusion,,,16
224,Mysterio (Quentin Beck),Mysterio,villain,villain,,,22
225,Kingpin (Wilson Fisk),Kingpin,villain,villain,,,17
226,Sandman,Flint Marko,villain,villain,Amazing Spider-Man #4,1963,25
227,Lizard,,villain,villain,Amazing Spider-Man #6,1963,19
228,Hobgoblin,,villain,villain,The Amazing Spider-Man #238,1983,126
229,Vulture (Adrian Toomes),Vulture,villain,villain,,,40
230,Mysterio,Quentin Beck,villain,villain,Amazing Spider-Man #13,1964,22
231,Venom (Eddie Brock),Venom,villain,villain,,,11
232,Doctor Strange,,hero,hero (cameo MS),,,10
233,Bullseye,,villain,villain (Sega CD),,,73
234,Typhoid Mary,,villain,villain (Sega CD),,,257
235,Black Cat (Felicia Hardy),Black Cat,hero,hero,,,3
236,Namor the Sub-Mariner,,hero,hero,,,197
237,Hawkeye (Clint Barton),Hawkeye,hero,hero,,,124
238,Vulture,Adrian Toomes,villain,villain,Amazing Spider-Man #2,1963,40
239,Cyclops (Scott Summers),Cyclops,hero,hero,,,85
240,Storm (Ororo Munroe),Storm,hero,hero,,,249
241,Wolverine (Logan),Wolverine,hero,hero,,,41
242,Gambit (Remy LeBeau),Gambit,hero,hero,,,111
243,Spider-Man (playable),Spider-Man,hero,hero,,,23
244,Venom / Eddie Brock (playable),Venom,antihero,antihero,,,11
245,Carnage (Cletus Kasady),Carnage,villain,villain,,,5
246,Shriek,,villain,villain,,,28
247,Doppelganger,,villain,villain,,,97
248,Demogoblin,,villain,villain,,,92
249,Carrion,,villain,villain,,,80
250,Captain America,,hero,hero (summonable),Captain America Comics #1,1941,4
251,Black Cat,,hero,hero,Amazing Spider-Man #194,1979,3
252,Cloak and Dagger,,hero,heroes,,,83
253,Deathlok,,hero,hero,,,90
254,Morbius,,hero,hero,,,192
255,Beetle (Abner Jenkins),Beetle,villain,villain,Strange Tales #123,1964,61
256,Human Torch,,hero,hero (cameo),Strange Tales #52,1961,128
257,Speedball,,hero,hero (cameo),,,244
258,The Jury,,villain,villains,,,254
259,Ghost Rider (Danny Ketch),Ghost Rider,hero,hero (cameo),,,115
260,Hawkeye,,hero,hero (cameo),,,124
261,Hydra,,villain,villains (org),,,129
262,"New Enforcers: Dragon Man, Eel, Thermite, Blitz, Super-Adaptoid",,villain,villains,,,200
263,Vanisher,,neutral,neutral/villain,,,258
264,Spider-Man / Peter Parker,Spider-Man,hero,hero (playable),Amazing Fantasy #15,1962,23
265,Scorpion,Mac Gargan,villain,villain,Amazing Spider-Man #20,1965,26
266,Venom / Eddie Brock,Venom,villain,villain,Amazing Spider-Man #299,1988,11
267,Carnage / Cletus Kasady,Carnage,villain,villain,Amazing Spider-Man #344,1991,5
268,Doctor Octopus / Otto Octavius,Doctor Octopus,villain,villain,Amazing Spider-Man #3,1963,9
269,Monster-Ock,,villain,villain (game original),,,190
270,Punisher,,hero,hero,Amazing Spider-Man #129,1974,220
271,Stan Lee,,neutral,narrator (himself),,,248
272,Dr. Watts,,neutral,neutral,,,263
273,Electro / Hyper-Electro (Max Dillon),Electro,villain,villain,Amazing Spider-Man #9,1964,12
274,Hammerhead,,villain,villain,Amazing Spider-Man #113,1972,121
275,Lizard / Dr. Curt Connors,Lizard,villain,villain,Amazing Spider-Man #6,1963,19
276,Shocker,,villain,villain,Amazing Spider-Man #46,1967,27
277,Thor,,hero,hero (cutscene),Journey into Mystery #83,1962,255
278,Beast (Hank McCoy),Beast,hero,hero,X-Men #1,1963,60
279,Rogue,,hero,hero,Avengers Annual #10,1981,233
280,Professor X,,hero,hero,X-Men #1,1963,217
281,Mysterio / Quentin Beck,Mysterio,villain,villain,,,22
282,Big Wheel,,villain,villain,,,64
283,Green Goblin / Norman Osborn,Green Goblin,villain,villain,Amazing Spider-Man #14,1964,13
284,Uncle Ben,,neutral,neutral,,,39
285,Kraven the Hunter,Sergei Kravinoff,villain,villain (Xbox only),The Amazing Spider-Man #15,1964,18
286,Bruce Campbell,,neutral,narrator (himself),,,72
287,Aunt May,May Parker,neutral,neutral,Amazing Fantasy #15,1962,1
288,Puma (Thomas Fireheart),Puma,villain,villain (PC),,,219
289,Calypso,,villain,villain (post-game bonus),,,75
290,Spider-Man / Peter Parker (Ultimate),Spider-Man,hero,hero (playable),,,23
291,Venom / Eddie Brock (Ultimate),Venom,antihero,antihero (playable),,,11
292,Wolverine (Ultimate),Wolverine,hero,hero,,,41
293,R.H.I.N.O.,,villain,villain,,,222
294,Silver Sable,,neutral,neutral,,,30
295,Electro (Ultimate),Electro,villain,villain,,,12
296,Green Goblin (Ultimate),Green Goblin,villain,villain,,,13
297,Beetle,,villain,villain,,,61
298,Bolivar Trask,,villain,villain,,,68
299,New Goblin / Harry Osborn,New Goblin,villain,villain/antihero,Amazing Spider-Man #136,1974,15
300,Sandman / Flint Marko,Sandman,villain,villain,Amazing Spider-Man #4,1963,25
301,Lizard / Curt Connors,Lizard,villain,villain,,,19
302,Scorpion / Mac Gargan,Scorpion,villain,villain,Amazing Spider-Man #20,1965,26
303,Luke Carlyle / Mad Bomber,Luke Carlyle,villain,villain,,,167
304,Jean DeWolfe,,neutral,neutral,,,142
305,Kingpin / Wilson Fisk,Kingpin,villain,villain,Amazing Spider-Man #50,1967,17
306,Jessica Andrews,,neutral,neutral (game original),,,147
307,Farley Stillwell,,villain,villain,,,106
308,Blade,,hero,hero,,,67
309,Prowler (Hobie Brown),Prowler,hero,hero,,,218
310,Luke Cage,,hero,hero (summon),Hero for Hire #1,1972,166
311,Moon Knight,,hero,hero (summon),Werewolf by Night #32,1975,191
312,Wolverine,,hero,hero (summon),Incredible Hulk #180,1974,41
313,Black Widow / Natasha Romanova,Black Widow,neutral,neutral,Tales of Suspense #52,1964,66
314,Tinkerer / Phineas Mason,Tinkerer,villain,villain,Amazing Spider-Man #2,1963,37
315,Wolverine (Symbiote),Wolverine,villain,villain,,,41
316,Electro (Symbiote),Electro,villain,villain,,,12
317,Vulture (Symbiote),Vulture,villain,villain,,,40
318,Black Cat (Symbiote),Black Cat,villain,villain,,,3
319,Jackal (Miles Warren),Jackal,villain,villain (PS2/PSP),Amazing Spider-Man #129,1974,138
320,Spider-Woman / Jessica Drew (PS2/PSP),Spider-Woman,neutral,neutral,Marvel Spotlight #32,1977,148
321,Kraven the Hunter (PS2/PSP),Kraven the Hunter,villain,villain,Amazing Spider-Man #15,1964,18
322,Nightcrawler (DS),Nightcrawler,hero,hero,Giant-Size X-Men #1,1975,203
323,Green Goblin / Norman Osborn (DS),Green Goblin,neutral,neutral,Amazing Spider-Man #14,1964,13
324,Shocker (PS2/PSP),Shocker,villain,villain,Amazing Spider-Man #46,1967,27
325,Spencer Smythe (PS2/PSP),Spencer Smythe,villain,villain,,,245
326,J. Jonah Jameson (PS2/PSP),J. Jonah Jameson,neutral,neutral,Amazing Spider-Man #1,1963,136
327,Amazing Spider-Man / Peter Parker,Amazing Spider-Man,hero,hero,Amazing Fantasy #15,1962,23
328,Spider-Man Noir / Peter Parker,Spider-Man Noir,hero,hero,Spider-Man Noir #1,2009,33
329,Spider-Man 2099 / Miguel O'Hara,Spider-Man 2099,hero,hero,Spider-Man 2099 #1,1992,185
330,Ultimate Spider-Man / Peter Parker,Ultimate Spider-Man,hero,hero,Ultimate Spider-Man #1,2000,23
331,Anti-Venom / Eddie Brock,Anti-Venom,villain,villain,Amazing Spider-Man #630,2010,11
332,Walker Sloan,,villain,villain (game original),,,261
333,Dr. Otto Octavius,,villain,villain,Amazing Spider-Man #3,1963,9
334,Atrocity (Sloan/Anti-Venom/Octopus hybrid),Atrocity,villain,villain,,,56
335,Peter Parker (future CEO),Peter Parker,villain,villain,,,23
336,Stan (Stan Lee cameo),Stan,neutral,neutral,,,247
337,Whitney Chang,,neutral,neutral (game original),,,265
338,Vermin,,villain,villain,,,259
339,Felicia Hardy / Black Cat,Felicia Hardy,neutral,neutral,Amazing Spider-Man #194,1979,3
340,"S-01, S-02, S-03 (Oscorp robots)","S-01, S-02, S-03",villain,villains,,,236
341,Natie (piranha cross-species),Natie,villain,villain,,,198
342,Dennis Carradine / Burglar,Dennis Carradine,villain,villain,,,74
343,Cletus Kasady / Carnage Killer / Carnage,Cletus Kasady,villain,villain,,,5
344,Chameleon / Dmitri Smerdyakov,Chameleon,villain,villain (post-credits),,,6
345,Spider-Girl / Mayday Parker,Spider-Girl,hero,hero,,,31
346,Spider-Ham / Peter Porker,Spider-Ham,hero,hero,,,32
347,Spider-Gwen / Gwen Stacy,Spider-Gwen,hero,hero,,,14
348,Silk / Cindy Moon,Silk,hero,hero,,,29
349,Spider-Punk / Hobart Brown,Spider-Punk,hero,hero,,,34
350,Kaine / Scarlet Spider,Kaine,hero,hero,,,154
351,Gold Goblin,,villain,villain,,,116
352,Morlun,,villain,villain,,,193
353,Karn,,villain,villain,,,158
354,Daemos,,villain,villain,,,86
355,Jennix,,villain,villain,,,146
356,Solus,,villain,villain,,,242
357,Inheritors,,villain,villains (group),,,132
358,Jack O'Lantern,,villain,villain,,,137
359,Hydro-Man,,villain,villain,,,130
360,Thanos,,villain,villain (event),,,252
361,Iron Man / Tony Stark,Iron Man,hero,hero,,,135
362,Hulk / Bruce Banner,Hulk,hero,hero,,,16
363,Captain America / Steve Rogers,Captain America,hero,hero,,,4
364,Wolverine / Logan,Wolverine,hero,hero,,,41
365,Mister Fantastic / Reed Richards,Mister Fantastic,hero,hero,,,188
366,Loki,,villain,villain,,,164
367,Doctor Doom / Victor von Doom,Doctor Doom,villain,villain,,,8
368,Magneto,,villain,villain,,,171
369,Galactus,,villain,villain,,,110
370,Silver Surfer / Norrin Radd,Silver Surfer,neutral,neutral,,,205
371,Deadpool / Wade Wilson,Deadpool,neutral,narrator/bonus,,,89
372,"""Carnom"" (Venom/Carnage fusion)","""Carnom""",villain,villain,,,79
373,Green Goblin 2099,,villain,villain,,,117
