id,game_work_id,platform_id,release_date,publisher,developer,metacritic_score,esrb_rating
93,70,44,2011-10-04 (NA) / 2011-10-14 (EU),Activision,Beenox,58,
94,70,43,2011-10-04 (NA) / 2011-10-14 (EU),Activision,Beenox,57,
95,70,45,2011-10-04 (NA) / 2011-10-26 (AU),Activision,Beenox,62,
96,70,46,2011-10-04 (NA),Activision,Beenox,50,
97,70,39,2011-10-04 (NA),Activision,Other Ocean Interactive,50,
98,71,44,2012-06-26 (NA) / 2012-06-29 (EU),Activision,Beenox,71,
99,71,43,2012-06-26 (NA) / 2012-06-29 (EU),Activision,Beenox,69,
100,71,45,2012-06-26 (NA) / 2012-06-29 (EU),Activision,Beenox,58,
101,71,47,2013-03-05 (NA) / 2013-03-08 (EU),Activision,Beenox,66,
102,71,46,2012-06-26 (NA) / 2012-06-29 (EU),Activision,Beenox,55,
103,71,39,2012-06-26 (NA),Activision,Other Ocean Interactive,,
104,71,48,2013-11-19 (NA) / 2013-11-22 (PAL),Activision,Beenox,55,
105,71,32,2012-08-10 (WW),Activision,Beenox,,
106,71,49,2012-06-28 (WW),Gameloft,Gameloft,,
107,71,50,2012-06-28 (WW),Gameloft,Gameloft,66,
108,71,51,2013-03-06 (NA),Gameloft,Gameloft,,
109,72,52,2014-04-29 (NA) / 2014-05-02 (EU),Activision,Beenox,49,
110,72,53,2014-05-12 (NA) / 2014-05-04 (EU),Activision,Beenox,46,
111,72,44,2014-04-29 (NA) / 2014-05-02 (EU),Activision,Beenox,57,
112,72,43,2014-04-29 (NA) / 2014-05-02 (EU),Activision,Beenox,55,
113,72,32,2014-04-29 (NA) / 2014-05-02 (EU),Activision,Beenox,57,
114,72,54,2014-04-29 (NA) / 2014-05-02 (EU),Activision,Beenox,58,
115,72,46,2014-04-29 (NA) / 2014-05-02 (EU),Activision,High Voltage Software,,
116,72,49,2014-04-17 (WW),Gameloft,Gameloft,58,
117,72,50,2014-04-17 (WW),Gameloft,Gameloft,58,
118,72,51,2014-04-17 (WW),Gameloft,Gameloft,,
119,73,49,2014-09-10 (WW),Gameloft,Gameloft Barcelona,79,
120,73,50,2014-09-10 (WW),Gameloft,Gameloft Barcelona,79,
121,73,51,2014-09-10 (WW),Gameloft,Gameloft Barcelona,,
122,74,44,2013-10-22 (NA) / 2013-11-15 (EU) / 2015-01-22 (JP),Warner Bros. Interactive,Traveller's Tales,82,
123,74,43,2013-10-22 (NA) / 2013-11-15 (EU),Warner Bros. Interactive,Traveller's Tales,80,
124,74,54,2013-10-22 (NA) / 2013-11-15 (EU),Warner Bros. Interactive,Traveller's Tales,82,
125,74,52,2013-11-15 (NA) / 2013-11-29 (EU),Warner Bros. Interactive,Traveller's Tales,83,
126,74,53,2013-11-22 (NA/EU),Warner Bros. Interactive,Traveller's Tales,,
127,74,32,2013-10-22 (NA),Warner Bros. Interactive,Traveller's Tales,78,
128,74,55,2014-05-08 (WW),Feral Interactive,Traveller's Tales,,
129,74,56,2021-10-08 (WW),Warner Bros. Interactive,Traveller's Tales,,
130,74,46,2014-02-18 (NA) / 2014-02-21 (EU),Warner Bros. Interactive,TT Fusion,,
131,74,39,2014-02-18 (NA) / 2014-02-21 (EU),Warner Bros. Interactive,TT Fusion,,
132,74,48,2014-02-18 (NA) / 2014-02-21 (EU),Warner Bros. Interactive,TT Fusion,,
133,74,57,2013,Warner Bros. Interactive,TT Fusion,,
134,74,58,2013,Warner Bros. Interactive,TT Fusion,,
135,75,52,2017-11-14 (NA/EU),Warner Bros. Interactive,Traveller's Tales,73,
136,75,53,2017-11-14 (NA/EU),Warner Bros. Interactive,Traveller's Tales,76,
137,75,56,2017-11-14 (NA/EU),Warner Bros. Interactive,Traveller's Tales,75,
138,75,32,2017-11-14 (NA/EU),Warner Bros. Interactive,Traveller's Tales,,
139,75,59,2018-08-02 (WW),Feral Interactive,Traveller's Tales,,
140,76,52,2018-09-07 (WW),Sony Interactive Entertainment,Insomniac Games,87,T
141,76,60,2020-11-12 (NA/AU) / 2020-11-19 (WW),Sony Interactive Entertainment,Insomniac Games / Nixxes (port),87,T
142,76,61,2022-08-12 (WW),Sony Interactive Entertainment,Insomniac Games / Nixxes (port),87,T
143,79,52,2020-11-12 (WW),Sony Interactive Entertainment,Insomniac Games,84,T
144,79,62,2020-11-12 (NA/AU) / 2020-11-19 (WW),Sony Interactive Entertainment,Insomniac Games,85,T
145,79,32,2022-11-18 (WW),Sony Interactive Entertainment,Insomniac Games / Nixxes (port),88,T
146,80,62,2023-10-20 (WW),Sony Interactive Entertainment,Insomniac Games,90,T
147,80,32,2025-01-30 (WW),Sony Interactive Entertainment,Insomniac Games / Nixxes (port),87,T
148,77,63,2018-10-23,Sony Interactive Entertainment,Insomniac Games,76,T
149,77,64,2018-11-20,Sony Interactive Entertainment,Insomniac Games,70,T
150,77,65,2018-12-21,Sony Interactive Entertainment,Insomniac Games,75,T
151,77,60,2020-11-12,Sony Interactive Entertainment,Insomniac Games / Nixxes,,
152,77,61,2022-08-12,Sony Interactive Entertainment,Insomniac Games / Nixxes,,
153,42,11,,Paragon Software,Oxford Digital Enterprises,,
154,42,9,,Paragon Software,Oxford Digital Enterprises,,
155,42,6,,Paragon Software,Oxford Digital Enterprises,,
156,42,12,,Paragon Software,Oxford Digital Enterprises,,
157,43,22,,LJN,Rare,,
158,44,22,,Acclaim Entertainment,Beam Software,,
159,47,22,,LJN,Bits Studios,,
160,50,22,,LJN,Bits Studios,,
161,56,9,,Byron Preiss Multimedia,Brooklyn Multimedia,,
162,58,29,,Activision,Torus Games,,
163,64,39,2006-11-07,Activision,Torus Games,,E10+
164,64,34,2006-11-07,Activision,Torus Games,,E10+
165,68,50,2010-09-22,Gameloft,Gameloft,,
166,68,49,,Gameloft,Gameloft,,
167,78,62,2020-11-12,Sony Interactive Entertainment,Insomniac Games,,T
168,78,66,2022-08-12,Sony Interactive Entertainment,Nixxes Software,87,T
169,81,62,,Sony Interactive Entertainment,Insomniac Games,,
