work_id,title,release_year,release_date,media_type,franchise,notes,movie_sub_type,movie_studio,movie_distributor,movie_director,movie_producer,movie_runtime_minutes,movie_mpaa_rating,movie_notes,tv_sub_type,tv_format,tv_network,tv_start_year,tv_end_year,tv_seasons,tv_episodes,tv_head_writer,tv_voice_actor_spider_man,tv_status,game_genre,game_engine,game_universe,game_notes,studios,platforms,n_characters,n_cast_crew,top_billed_actor,n_review_scores,avg_review_pct,n_awards,n_awards_won,production_budget_usd,lifetime_worldwide_usd,lifetime_domestic_usd,opening_week_domestic_usd
56,Spider-Man: The Sinister Six,1996,,game,Standalone,PC CD-ROM point-and-click,,,,,,,,,,,,,,,,,,,point-and-click adventure,,Standalone,PC CD-ROM point-and-click,Brooklyn Multimedia; Byron Preiss Multimedia,MS-DOS,7,0,,0,,0,0,,,,
55,The Amazing Spider-Man: Web of Fire,1996,,game,Standalone,One of the last 32X releases,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,One of the last 32X releases,BlueSky Software; Sega; Zono,Sega 32X,5,6,,2,43.0,0,0,,,,
57,Spider-Man (2000 video game),2000,2000-08-30,game,Standalone,First Activision-era Spider-Man,,,,,,,,,,,,,,,,,,,action-adventure/platformer,,Standalone,First Activision-era Spider-Man,Activision; Aspyr; Edge of Reality; LTI Gray Matter; Neversoft; Treyarch; Vicarious Visions; Westlake Interactive,Dreamcast; Game Boy Color; Mac OS; Nintendo 64; PlayStation; Windows,17,10,,19,76.7,0,0,,,,
59,Spider-Man 2: Enter: Electro,2001,2001-10-18,game,Standalone,Sequel to the 2000 game; delayed from September 2001 to remove World Trade Center content,,,,,,,,,,,,,,,,,,,action-adventure/platformer,,Standalone,Sequel to the 2000 game; delayed from September 2001 to remove World Trade Center content,Activision; Success; Vicarious Visions,PlayStation,13,10,,13,65.1,0,0,,,,
58,Spider-Man 2: The Sinister Six,2001,,game,Standalone,Handheld sequel,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,Handheld sequel,Activision; Torus Games,Game Boy Color,7,0,,5,77.3,0,0,,,,
60,Spider-Man: Mysterio's Menace,2001,2001-09-19,game,Standalone,,,,,,,,,,,,,,,,,,,,action platformer,,Standalone,,Activision; Vicarious Visions,Game Boy Advance,8,0,,12,76.8,0,0,,,,
61,Spider-Man (2002 video game),2002,2002-04-16,game,Movie tie-in,Tie-in to Spider-Man (2002 film),,,,,,,,,,,,,,,,,,,action-adventure,,Movie tie-in,Tie-in to Spider-Man (2002 film),Activision; Digital Eclipse; LTI Gray Matter; Treyarch,Game Boy Advance; GameCube; PlayStation 2; Windows; Xbox,11,5,,19,77.4,0,0,,,,
62,Spider-Man 2 (2004 video game),2004,2004-06-29,game,Movie tie-in,Tie-in to Spider-Man 2 (2004 film); first open-world web-swinging,,,,,,,,,,,,,,,,,,,open world action-adventure,,Movie tie-in,Tie-in to Spider-Man 2 (2004 film); first open-world web-swinging,Activision; Aspyr; Digital Eclipse; Taito; The Fizz Factor; Treyarch; Vicarious Visions,Game Boy Advance; GameCube; Mac OS X; N-Gage; Nintendo DS; PlayStation 2; PlayStation Portable; Windows; Xbox,13,9,,33,69.5,0,0,,,,
63,Ultimate Spider-Man (2005 video game),2005,2005-09-22,game,Standalone,Based on Ultimate Spider-Man comic; cel-shaded art,,,,,,,,,,,,,,,,,,,open world action-adventure,,Standalone,Based on Ultimate Spider-Man comic; cel-shaded art,Activision; Beenox; Mforma; Taito; Treyarch; Vicarious Visions,Game Boy Advance; GameCube; Mobile phone; Nintendo DS; PlayStation 2; Windows; Xbox,12,14,,23,76.0,1,1,,,,
64,Spider-Man: Battle for New York,2006,2006-11-07,game,Standalone,,,,,,,,,,,,,,,,,,,,action beat 'em up,,Standalone,,Activision; Torus Games,Game Boy Advance; Nintendo DS,4,0,,5,61.6,0,0,,,,
65,Spider-Man 3 (2007 video game),2007,2007-05-04,game,Movie tie-in,Tie-in to Spider-Man 3 (2007 film),,,,,,,,,,,,,,,,,,,open world action-adventure,,Movie tie-in,Tie-in to Spider-Man 3 (2007 film),Activision; Beenox; Treyarch; Vicarious Visions,Game Boy Advance; Nintendo DS; PlayStation 2; PlayStation 3; PlayStation Portable; Wii; Windows; Xbox 360,20,1,,16,66.1,0,0,,,,
66,Spider-Man: Friend or Foe,2007,2007-10-02,game,Movie tie-in,Loosely ties to the film trilogy,,,,,,,,,,,,,,,,,,,action beat 'em up,,Movie tie-in,Loosely ties to the film trilogy,Activision; Artificial Mind & Movement (A2M/Behaviour); Beenox; Next Level Games,Nintendo DS; PlayStation 2; PlayStation Portable; Wii; Windows; Xbox 360,18,7,,22,59.1,0,0,,,,
67,Spider-Man: Web of Shadows,2008,2008-10-21,game,Standalone,Multiple endings based on red/black suit choices,,,,,,,,,,,,,,,,,,,open world action-adventure,,Standalone,Multiple endings based on red/black suit choices,Activision; Amaze Entertainment; Aspyr; Griptonite Games; Shaba Games; Treyarch,Nintendo DS; PlayStation 2; PlayStation 3; PlayStation Portable; Wii; Windows; Xbox 360,22,4,,29,68.3,0,0,,,,
69,Spider-Man: Shattered Dimensions,2010,2010-09-07,game,Standalone,"Four Spider-Men across dimensions (Amazing, Noir, 2099, Ultimate)",,,,,,,,,,,,,,,,,,,action-adventure,,Standalone,"Four Spider-Men across dimensions (Amazing, Noir, 2099, Ultimate)",Activision; Beenox; Griptonite Games,Nintendo DS; PlayStation 3; Wii; Windows; Xbox 360,3,8,,17,72.6,0,0,,,,
68,Ultimate Spider-Man: Total Mayhem,2010,2010-09-22,game,Standalone,Mobile title,,,,,,,,,,,,,,,,,,,action beat 'em up,,Standalone,Mobile title,Gameloft,Android; iOS,6,0,,6,78.3,0,0,,,,
70,Spider-Man: Edge of Time,2011,2011-10-04,game,Standalone,Amazing and 2099 Spider-Men,,,,,,,,,,,,,,,,,,,action-adventure,,Standalone,Amazing and 2099 Spider-Men,Activision; Beenox; Other Ocean Interactive,Nintendo 3DS; Nintendo DS; PlayStation 3; Wii; Xbox 360,8,5,,15,52.4,0,0,,,,
71,The Amazing Spider-Man (2012 video game),2012,2012-06-26,game,Movie tie-in,Tie-in to The Amazing Spider-Man (2012 film),,,,,,,,,,,,,,,,,,,open world action-adventure,,Movie tie-in,Tie-in to The Amazing Spider-Man (2012 film),Activision; Beenox; Gameloft; Other Ocean Interactive,Android; Nintendo 3DS; Nintendo DS; PlayStation 3; PlayStation Vita; Wii; Wii U (Ultimate Edition); Windows; Windows Phone; Xbox 360; iOS,13,7,,14,64.3,0,0,,,,
74,LEGO Marvel Super Heroes,2013,2013-10-22,game,LEGO Marvel crossover,Spider-Man as major playable character,,,,,,,,,,,,,,,,,,,action-adventure,,LEGO Marvel crossover,Spider-Man as major playable character,Feral Interactive; TT Fusion; Traveller's Tales; Warner Bros. Interactive Entertainment,Android (Universe in Peril); Nintendo 3DS; Nintendo DS; Nintendo Switch; OS X; PlayStation 3; PlayStation 4; PlayStation Vita; Wii U; Windows; Xbox 360; Xbox One; iOS (Universe in Peril),20,7,,15,82.5,2,0,,,,
73,Spider-Man Unlimited (2014 video game),2014,2014-09-10,game,Standalone,Mobile endless runner; shut down 2019,,,,,,,,,,,,,,,,,,,endless runner,,Standalone,Mobile endless runner; shut down 2019,Gameloft; Gameloft Barcelona,Android; Windows Phone; iOS,29,5,,5,69.6,0,0,,,,
72,The Amazing Spider-Man 2 (2014 video game),2014,2014-04-29,game,Movie tie-in,Tie-in to The Amazing Spider-Man 2 (2014 film); last Activision Spider-Man game,,,,,,,,,,,,,,,,,,,open world action-adventure,,Movie tie-in,Tie-in to The Amazing Spider-Man 2 (2014 film); last Activision Spider-Man game,Activision; Beenox; Gameloft; High Voltage Software; Square Enix,Android; Nintendo 3DS; PlayStation 3; PlayStation 4; Wii U; Windows; Windows Phone; Xbox 360; Xbox One; iOS,17,4,,22,52.7,0,0,,,,
75,LEGO Marvel Super Heroes 2,2017,2017-11-14,game,LEGO Marvel crossover,Spider-Man as major playable character,,,,,,,,,,,,,,,,,,,action-adventure,,LEGO Marvel crossover,Spider-Man as major playable character,Feral Interactive; Traveller's Tales; Warner Bros. Interactive Entertainment,Nintendo Switch; PlayStation 4; Windows; Xbox One; macOS,25,10,,11,72.7,0,0,,,,
76,Marvel's Spider-Man,2018,2018-09-07,game,Insomniac Spider-Man universe,Earth-1048; Remastered on PS5 Nov 12 2020 and Windows Aug 12 2022,,,,,,,,,,,,,,,,,,,action-adventure/open world,Insomniac engine,Insomniac Spider-Man universe,Earth-1048; Remastered on PS5 Nov 12 2020 and Windows Aug 12 2022,Insomniac Games; Nixxes Software; Sony Interactive Entertainment,PlayStation 4; PlayStation 5 (Remastered); Windows (Remastered),26,12,,14,88.1,11,0,,,,
77,Marvel's Spider-Man: The City That Never Sleeps,2018,2018-10-23,game,Insomniac Spider-Man universe,3-episode DLC for Marvel's Spider-Man,,,,,,,,,,,,,,,,,,,action-adventure (DLC),,Insomniac Spider-Man universe,3-episode DLC for Marvel's Spider-Man,Insomniac Games; Nixxes Software; Sony Interactive Entertainment,PlayStation 4 (Silver Lining); PlayStation 4 (The Heist); PlayStation 4 (Turf Wars); PlayStation 5 (Remastered); Windows (Remastered),12,11,,3,73.7,0,0,,,,
78,Marvel's Spider-Man Remastered,2020,2020-11-12,game,Insomniac Spider-Man universe,"Remaster with ray tracing, new Peter model",,,,,,,,,,,,,,,,,,,action-adventure/open world,,Insomniac Spider-Man universe,"Remaster with ray tracing, new Peter model",Insomniac Games; Nixxes Software; Sony Interactive Entertainment,Microsoft Windows; PlayStation 5,5,3,,11,88.1,1,0,,,,
79,Marvel's Spider-Man: Miles Morales,2020,2020-11-12,game,Insomniac Spider-Man universe,Spin-off; PC release Nov 18 2022,,,,,,,,,,,,,,,,,,,action-adventure/open world,,Insomniac Spider-Man universe,Spin-off; PC release Nov 18 2022,Insomniac Games; Nixxes Software; Sony Interactive Entertainment,PlayStation 4; PlayStation 5; Windows,19,11,,17,79.6,11,2,,,,
80,Marvel's Spider-Man 2,2023,2023-10-20,game,Insomniac Spider-Man universe,PC release Jan 30 2025; features Venom symbiote,,,,,,,,,,,,,,,,,,,action-adventure/open world,,Insomniac Spider-Man universe,PC release Jan 30 2025; features Venom symbiote,Insomniac Games; Nixxes Software; Sony Interactive Entertainment,PlayStation 5; Windows,30,8,,13,89.7,9,0,,,,
23,El Muerto,,,movie,Sony Spider-Man Universe (SSU),In development; indefinitely delayed; release date TBD,SSU spin-off,Columbia Pictures,Sony Pictures Releasing,,,,,In development; indefinitely delayed; release date TBD,,,,,,,,,,,,,,,Columbia Pictures; Marvel Entertainment; Sony Pictures Releasing,,1,3,Benito Antonio Martínez Ocasio,0,,0,0,,,,
15,Spider-Man: Beyond the Spider-Verse,,,movie,Spider-Verse,"Upcoming; release delayed, year unconfirmed",animated,Sony Pictures Animation,Sony Pictures Releasing,Bob Persichetti,Phil Lord; Christopher Miller; Amy Pascal,,,"Upcoming; release delayed, year unconfirmed",,,,,,,,,,,,,,,Columbia Pictures; Lord Miller; Marvel Entertainment; Pascal Pictures; Sony Pictures Animation; Sony Pictures Releasing,,6,19,Shameik Moore,0,,0,0,,,,
1,Spider-Man,1977,1977-09-14,movie,Early TV films,TV movie pilot for The Amazing Spider-Man series,TV film,Danchuck Productions; Marvel Productions,CBS,E. W. Swackhamer,Danchuck Productions,98,,TV movie pilot for The Amazing Spider-Man series,,,,,,,,,,,,,,,CBS; Columbia Pictures; Danchuck Productions,,5,17,Nicholas Hammond,0,,0,0,,9000000,,
4,Spider-Man (Toei),1978,1978-07-22,movie,Toei Japanese Spider-Man,Theatrical spin-off of the Toei tokusatsu TV series; non-Peter-Parker lead,live-action,Toei Company,Toei Company,Kōichi Takemoto,Toei Company,24,,Theatrical spin-off of the Toei tokusatsu TV series; non-Peter-Parker lead,,,,,,,,,,,,,,,Toei Company,,3,9,Shinji Tōdō,0,,0,0,,,,
2,Spider-Man Strikes Back,1978,1978-05-04,movie,Early TV films,Composite of two TV episodes; later theatrically released in Europe,TV film,Danchuck Productions; Marvel Productions,CBS,Ron Satlof,Danchuck Productions,90,,Composite of two TV episodes; later theatrically released in Europe,,,,,,,,,,,,,,,Charles Fries Productions; Columbia Pictures; Columbia Pictures Television,,4,14,Nicholas Hammond,0,,0,0,,,,
3,Spider-Man: The Dragon's Challenge,1981,1981-09-09,movie,Early TV films,Composite of TV episodes; theatrically released in Europe,TV film,Danchuck Productions; Marvel Productions,CBS,Don McDougall,Danchuck Productions,90,,Composite of TV episodes; theatrically released in Europe,,,,,,,,,,,,,,,Columbia Pictures; Columbia Pictures Television; Danchuck Productions,,5,17,Nicholas Hammond,0,,0,0,,,,
5,Spider-Man,2002,2002-05-03,movie,Sam Raimi trilogy,Nominated for Best Visual Effects and Best Sound at 75th Academy Awards,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Ian Bryce,121,PG-13,Nominated for Best Visual Effects and Best Sound at 75th Academy Awards,,,,,,,,,,,,,,,Columbia Pictures; Laura Ziskin Productions; Marvel Enterprises; Sony Pictures Releasing,,11,18,Tobey Maguire,2,81.5,2,0,139000000,826800000,403700000,
6,Spider-Man 2,2004,2004-06-30,movie,Sam Raimi trilogy,Won Best Visual Effects at 77th Academy Awards,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Ian Bryce,127,PG-13,Won Best Visual Effects at 77th Academy Awards,,,,,,,,,,,,,,,Columbia Pictures; Laura Ziskin Productions; Marvel Enterprises; Sony Pictures Releasing,,10,21,Tobey Maguire,2,88.0,8,3,200000000,797000000,373585825,
7,Spider-Man 3,2007,2007-05-04,movie,Sam Raimi trilogy,Spider-Man 4 was cancelled in 2010,live-action,Columbia Pictures,Sony Pictures Releasing,Sam Raimi,Laura Ziskin; Avi Arad; Grant Curtis,139,PG-13,Spider-Man 4 was cancelled in 2010,,,,,,,,,,,,,,,Columbia Pictures; Laura Ziskin Productions; Marvel Entertainment; Sony Pictures Releasing,,11,19,Tobey Maguire,2,61.0,0,0,258000000,895900000,336530303,
8,The Amazing Spider-Man,2012,2012-07-03,movie,Marc Webb duology,Reboot of the franchise,live-action,Columbia Pictures; Marvel Entertainment,Sony Pictures Releasing,Marc Webb,Avi Arad; Matt Tolmach; Laura Ziskin,136,PG-13,Reboot of the franchise,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Laura Ziskin Productions; Marvel Entertainment; Matt Tolmach Productions; Sony Pictures Releasing,,9,21,Andrew Garfield,2,68.5,1,0,200000000,758700000,,
9,The Amazing Spider-Man 2,2014,2014-05-02,movie,Marc Webb duology,Sequels and Sinister Six spin-off were cancelled,live-action,Columbia Pictures; Marvel Entertainment,Sony Pictures Releasing,Marc Webb,Avi Arad; Matt Tolmach,142,PG-13,Sequels and Sinister Six spin-off were cancelled,,,,,,,,,,,,,,,"Arad Productions, Inc.; Columbia Pictures; Ingenious Film Studios; Marvel Entertainment; Matt Tolmach Productions; Sony Pictures Releasing",,11,19,Andrew Garfield,2,51.5,1,0,200000000,717000000,,
10,Spider-Man: Homecoming,2017,2017-07-07,movie,MCU,First MCU Spider-Man solo film; co-production with Marvel Studios,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,133,PG-13,First MCU Spider-Man solo film; co-production with Marvel Studios,,,,,,,,,,,,,,,Columbia Pictures; Marvel Studios; Pascal Pictures; Sony Pictures Releasing,,16,26,Tom Holland,2,82.5,1,0,175000000,880900000,334201140,
11,Spider-Man: Into the Spider-Verse,2018,2018-12-14,movie,Spider-Verse,Won Best Animated Feature at 91st Academy Awards,animated,Sony Pictures Animation,Sony Pictures Releasing,Bob Persichetti; Peter Ramsey; Rodney Rothman,Phil Lord; Christopher Miller; Amy Pascal; Avi Arad; Christina Steinberg,117,PG,Won Best Animated Feature at 91st Academy Awards,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Lord Miller Productions; Marvel Entertainment; Pascal Pictures; Sony Pictures Animation; Sony Pictures Releasing,,18,24,Shameik Moore,4,88.5,4,3,90000000,395000000,190241310,
17,Venom,2018,2018-10-05,movie,Sony Spider-Man Universe (SSU),First SSU film,SSU spin-off,Columbia Pictures; Marvel; Tencent,Sony Pictures Releasing,Ruben Fleischer,Avi Arad; Matt Tolmach; Amy Pascal,112,PG-13,First SSU film,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Marvel Entertainment; Matt Tolmach Productions; Pascal Pictures; Sony Pictures Releasing; Tencent Pictures,,9,20,Tom Hardy,2,32.5,0,0,100000000,856100000,,
12,Spider-Man: Far From Home,2019,2019-07-02,movie,MCU,First Spider-Man film to gross over $1 billion,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,129,PG-13,First Spider-Man film to gross over $1 billion,,,,,,,,,,,,,,,Columbia Pictures; Marvel Studios; Pascal Pictures; Sony Pictures Releasing,,18,20,Tom Holland,2,80.0,1,0,160000000,1133000000,390532085,
13,Spider-Man: No Way Home,2021,2021-12-17,movie,MCU,Features Tobey Maguire and Andrew Garfield multiverse cameos,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Jon Watts,Kevin Feige; Amy Pascal,148,PG-13,Features Tobey Maguire and Andrew Garfield multiverse cameos,,,,,,,,,,,,,,,Columbia Pictures; Marvel Studios; Pascal Pictures; Sony Pictures Releasing,,18,22,Tom Holland,2,82.0,1,0,200000000,1921000000,814115070,
18,Venom: Let There Be Carnage,2021,2021-10-01,movie,Sony Spider-Man Universe (SSU),,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Andy Serkis,Avi Arad; Matt Tolmach; Amy Pascal; Tom Hardy,97,PG-13,,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Marvel Entertainment; Matt Tolmach Productions; Pascal Pictures; Sony Pictures Releasing,,9,21,Tom Hardy,2,53.0,0,0,110000000,506800000,212172195,
19,Morbius,2022,2022-04-01,movie,Sony Spider-Man Universe (SSU),,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Daniel Espinosa,Avi Arad; Matt Tolmach,104,PG-13,,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Marvel Entertainment; Matt Tolmach Productions; Sony Pictures Releasing,,8,16,Jared Leto,3,33.7,3,2,75000000,167500000,,
14,Spider-Man: Across the Spider-Verse,2023,2023-06-02,movie,Spider-Verse,First part of a two-part sequel,animated,Sony Pictures Animation,Sony Pictures Releasing,Joaquim Dos Santos; Kemp Powers; Justin K. Thompson,Phil Lord; Christopher Miller; Amy Pascal; Christina Steinberg,140,PG,First part of a two-part sequel,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Lord Miller Productions; Marvel Entertainment; Pascal Pictures; Sony Pictures Animation; Sony Pictures Releasing,,21,26,Shameik Moore,2,90.5,7,4,100000000,690800000,,
21,Kraven the Hunter,2024,2024-12-13,movie,Sony Spider-Man Universe (SSU),Final film in the SSU,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,J.C. Chandor,Avi Arad; Matt Tolmach,127,R,Final film in the SSU,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Marvel Entertainment; Matt Tolmach Productions; Sony Pictures Releasing,,8,24,Aaron Taylor-Johnson,3,35.0,0,0,110000000,62000000,25026310,
20,Madame Web,2024,2024-02-14,movie,Sony Spider-Man Universe (SSU),,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,S.J. Clarkson,Avi Arad; Lorenzo di Bonaventura,116,PG-13,,,,,,,,,,,,,,,,Columbia Pictures; Di Bonaventura Pictures; Marvel Entertainment; Sony Pictures Releasing,,12,21,Dakota Johnson,2,18.5,3,3,100000000,100500000,,
22,Venom: The Last Dance,2024,2024-10-25,movie,Sony Spider-Man Universe (SSU),,SSU spin-off,Columbia Pictures; Marvel,Sony Pictures Releasing,Kelly Marcel,Avi Arad; Matt Tolmach; Amy Pascal; Tom Hardy,109,PG-13,,,,,,,,,,,,,,,,Arad Productions; Columbia Pictures; Hutch Parker Entertainment; Marcel Hardy Productions; Marvel Entertainment; Matt Tolmach Productions; Pascal Pictures; Sony Pictures Releasing,,12,24,Tom Hardy,2,40.5,0,0,110000000,,,51000000
16,Spider-Man: Brand New Day,2026,2026-07-31,movie,MCU,Announced; release date set for July 2026,live-action,Columbia Pictures; Marvel Studios; Pascal Pictures,Sony Pictures Releasing,Destin Daniel Cretton,Kevin Feige; Amy Pascal,,,Announced; release date set for July 2026,,,,,,,,,,,,,,,Columbia Pictures; Marvel Studios; Pascal Pictures; Sony Pictures Releasing,,5,14,Tom Holland,2,78.0,0,0,225000000,,,
28,Spider-Man (1967 TV series),1967,1967-09-09,tv_show,Standalone,"First Spider-Man animated series; theme song became iconic; first season Grantray-Lawrence, then Ralph Bakshi",,,,,,,,,animated,animated series,ABC,1967,1970,3,52,Grant Simmons; Clyde Geronimi; Sid Marcus (s1); Ralph Bakshi (s2+),Paul Soles,ended,,,,,Grantray-Lawrence Animation; Krantz Films; Marvel Comics Group,,6,11,Paul Soles,0,,0,0,,,,
24,Spidey Super Stories,1974,,tv_show,The Electric Company,Segment on The Electric Company; first live-action Spider-Man portrayal,,,,,,,,,live-action,sketch segment,PBS (The Electric Company),1974,1977,,,,Danny Seagren,ended,,,,,Children's Television Workshop; Marvel Comics Group,,4,8,Danny Seagren,0,,0,0,,,,
25,The Amazing Spider-Man,1977,,tv_show,Early TV films,Live-action CBS series starring Nicholas Hammond; canceled after two seasons,,,,,,,,,live-action,live-action series,CBS,1977,1979,2,13,,Nicholas Hammond,ended,,,,,Charles Fries Productions; Columbia Pictures Television; Dan Goodman Productions; Marvel Comics Group,,5,11,Nicholas Hammond,0,,0,0,,,,
